"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C"
"Agtr2",8.78225891977066,10.4079409862215,9.05425786998908,8.58380826406743,8.53417874111755,9.09983558559948
"Ak1",10.5795410589877,10.0294613919106,10.4005287319603,10.2860793644322,10.3095801422558,10.2018022468328
"Ak2",11.7490819137461,10.9745511347196,11.073680650661,10.9580527494369,11.071117323515,11.3027209100478
"Akt1",13.2132891519963,12.8724747573552,12.8342331142817,12.9039583865078,12.9513387393494,13.1362974033227
"Aldh1a1",-1.97165344256406,-1.96084887309651,-1.96905152882083,-1.97152031324185,-1.97159686073443,-1.9687582159976
"Aldoa",14.6869416484743,14.228161534048,14.3830360113777,14.2464942388037,14.2978531882188,14.3466892933947
"Aldoc",7.60708704756591,8.07598688322872,7.96136982413838,7.9957442639231,8.04201778220298,7.89904816432198
"Akr1b1",11.5429134468332,11.4362601012673,11.6035000954767,11.4980269689048,11.5869993072776,11.4285998166647
"Apc",10.0063647068534,10.3285776415253,10.1590818044176,10.3954515144548,10.250119088363,10.3311746711806
"Apeh",9.85063932073219,9.62425706396182,9.69267339100337,9.59443305291617,9.68728165992803,9.68563215776574
"Apoc3",1.36105726880558,1.38978684037326,1.38740720584519,1.39022959631405,1.4155916093474,1.39092545157495
"Ar",1.88815127347328,1.86141506782029,1.95518828768367,1.89027893229438,1.86086026123669,1.79516447972865
