"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rtl3",285.465474077708,-5.98964971665941,0.399287275874716,232.489105617274,1.70813650727258e-52,2.3712350993958e-48
"Igf2",13766.9801939804,-4.78922918606856,0.273245057894147,223.251561195217,1.76668149639847e-50,1.22625362665018e-46
"Meox2",843.94464251408,-4.71940561095823,0.288922123774671,212.279928824218,4.36980880837274e-48,2.02205619592768e-44
"Mfap5",747.343129003827,-5.35909847432575,0.341633853552769,190.041473312941,3.11371113355114e-43,1.08061344889892e-39
"H2afy2",619.590828937774,-2.95755843381178,0.220216009504454,161.653686965724,4.92434985443664e-37,1.36719649358579e-33
"Igfbp3",3574.62272117826,-4.62890068343439,0.314861980016231,160.005391358352,1.12841899943114e-36,2.61078542501718e-33
"Tnmd",194.138753770769,-10.7548169485868,1.25878693528098,146.639880321864,9.40710125811907e-34,1.86556256664584e-30
"Mmd",2187.10914665702,2.65668237385321,0.209496799429131,143.389836404006,4.83054162317974e-33,8.38219735162264e-30
"Mnda",1856.75193294742,2.2973652872644,0.184269403814347,143.040356410022,5.75979708629639e-33,8.88416701688517e-30
"Foxp2",192.509894335826,-4.9082891298945,0.421921351289346,122.607342745637,1.69966348381307e-28,2.35947284822931e-25
"Peg3",4424.50478643027,-5.18508130194549,0.399938969098326,119.14990618982,9.71065146459614e-28,1.22548421483203e-24
"Rnase10",125.482706625469,5.38461162422773,0.509530995021471,117.22214323261,2.56649985565369e-27,2.96901258301538e-24
"Igf2bp1",220.764833916923,-5.42149321292884,0.469286497008973,116.379422191331,3.92533545579934e-27,4.19165436903126e-24
"Dlk1",452.963457460292,-6.39421929935317,0.531425519168537,113.451474372964,1.71835633160907e-26,1.70387304252837e-23
"Stxbp5l",123.475039551333,5.6531247219842,0.610281102566618,103.461070554274,2.65561309692071e-24,2.45768140076356e-21
"Igf2bp3",240.187606748932,-4.15988203143431,0.385770588109174,99.5350769273205,1.92719622591026e-23,1.67208362550539e-20
"Ebf3",186.119748551689,-4.61355473673626,0.431963360031132,98.202725752217,3.77669763975612e-23,3.08400686088791e-20
"Vash2",242.59465256275,-3.08295392335017,0.306587895550267,91.1514847394446,1.33083539039777e-21,1.02636982719455e-18
"Fabp3",795.765460995202,-3.89866539381987,0.365222523243563,90.5161440160101,1.83473751020255e-21,1.34051716403325e-18
"Epha7",113.910684663815,-4.80770338842076,0.494209728138197,88.8530279734444,4.25262151955855e-21,2.95174459672559e-18
"Tub",187.819851937844,-3.74408736883947,0.383348571844585,83.6478610491878,5.91241884496991e-20,3.90839040027963e-17
"Zfp385b",678.364813618028,2.76853299774216,0.287894437780381,82.5282805083455,1.04169002432932e-19,6.57306405351803e-17
"Chst3",152.381094610387,-3.49947848719865,0.371090516604531,80.8511499622533,2.43376170215128e-19,1.46893391083757e-16
"Rnd1",1728.93597479856,3.0511752794465,0.312807543334388,80.1531761093838,3.46481277812756e-19,2.00410545774862e-16
"Rasl12",1926.25922281193,2.47490675661077,0.264820272336472,78.2096165811929,9.26662941958894e-19,5.14557398410935e-16
"Duox1",156.59675916856,-4.06803860538235,0.43210196823091,77.7581673474452,1.16460720822724e-18,6.21810664023482e-16
"Orm1",7491.51545386914,7.61284202137544,0.630524385830203,76.6801530573646,2.01013374814859e-18,1.0335065441407e-15
"Tspan18",1925.16133287488,-1.96768749518697,0.217967709246485,75.8013325732421,3.13689320979641e-18,1.55522684065692e-15
"Syndig1",138.952041561829,4.02483380827506,0.437827737514612,75.2895420970365,4.06507088529974e-18,1.94590738033555e-15
"Tor4a",672.279531080335,1.61161336519684,0.182782451232135,74.7722315633116,5.28275358062692e-18,2.4445061735421e-15
"Mrgprx3",53.8516709164682,5.93470579848867,0.790662052109249,73.9864459655542,7.86552487227608e-18,3.52223278312699e-15
"Hsf4",89.8659384986997,3.25497436036478,0.376056029929879,72.7562458668453,1.46693244792603e-17,6.36373632565912e-15
"Slitrk5",182.106384864004,-3.28994682969392,0.368264005724966,71.722637126958,2.47674792895116e-17,1.04188529544545e-14
"Gpc3",223.612094281477,-7.56506626051478,0.828027683726882,70.5083852075173,4.58314272348498e-17,1.87127021433584e-14
"Mab21l3",190.072307833785,2.92320845574639,0.334490657014828,70.0519825511993,5.77620486022062e-17,2.29100788198808e-14
"Ndufa4l2",1297.92403141842,3.38552319359944,0.370530781545126,69.2706920558268,8.58356578200984e-17,3.30991833849613e-14
"Lrrc17",73.4387730922988,-4.71326850629214,0.574098610386235,68.8754304498968,1.0488338282142e-16,3.93511113601879e-14
"LOC100911730",4297.81973224308,1.61370866190451,0.190015556038968,68.7584467564489,1.11293162753252e-16,4.06571496142273e-14
"Prss35",587.521751084792,-4.59320702300694,0.477803911920649,68.187086030691,1.48696389698534e-16,5.29282892767961e-14
"S1pr3",1530.96697934733,-3.84495397217874,0.408778779879959,67.7751943538169,1.83240349757014e-16,6.24696039093499e-14
"Gas2",134.545930686928,-3.23174147075635,0.376466215937432,67.7616675531884,1.84501783625079e-16,6.24696039093499e-14
"Pnp",6297.68057639832,1.35220421883339,0.161527542226562,67.7120536467738,1.89203322575694e-16,6.25362029522805e-14
"Epb41l3",542.357332323993,-3.3864582804966,0.37907371722013,67.1403650142915,2.52848020720553e-16,8.16287493870398e-14
"Igf2bp2",956.775254169465,-2.04426019294861,0.241145088331019,67.0894521777572,2.59462912042199e-16,8.18605487493138e-14
"Nxph4",129.155133956944,2.6378911524862,0.314671644181943,66.917530079087,2.83106185597839e-16,8.73351126326488e-14
"Penk",4205.96486437196,-2.10588321208535,0.247894777191752,66.6755732197003,3.20076828635112e-16,9.65936203285352e-14
"Plat",4804.30503437091,1.60253614051973,0.191954394083445,66.3622032998653,3.75228621728995e-16,1.10828164400892e-13
"Nrk",613.89258679863,-6.87293298691315,0.697193556156639,66.1606131523866,4.15635617567491e-16,1.20205284230665e-13
"Snap25",146.45683774215,7.74036660824976,0.943528633687816,65.5825485285998,5.57300729437977e-16,1.57886708695061e-13
"Nhsl2",183.469537292402,-2.66194426614292,0.31635023635715,65.4940405210441,5.82899657140962e-16,1.61836260808617e-13
"Mt1",8304.27532369419,3.13196713750325,0.356959380709714,65.4251089581401,6.03648683390721e-16,1.64310804369215e-13
"Crabp1",84.6430678638846,-6.58116186329618,0.853702185972776,64.9460428011025,7.69772603043233e-16,2.05499678373965e-13
"Ero1a",2510.98355460445,1.49025328491115,0.181612025184704,64.6343148050771,9.01712491754592e-16,2.3618061906674e-13
"Zim1",139.918468885973,-9.58870499975508,1.3750797432418,64.2980676319527,1.06950583816039e-15,2.74942223061899e-13
"Grk5",1136.38189001106,1.26468926541773,0.155777957777247,64.2440182634822,1.09925173061423e-15,2.77451136807032e-13
"Sema3d",698.126793762396,-4.059932758796,0.453631252755443,63.596050114427,1.5273511524539e-15,3.78619441042232e-13
"Pde3a",240.045654639075,-3.30408275392359,0.391109140999023,63.2615505121544,1.81003163883984e-15,4.40822091410082e-13
"Pcdh7",378.279034213166,-3.42012056626342,0.398661881313638,62.6881454862998,2.42168901260994e-15,5.79618739190539e-13
"Ptgis",167.807747819416,-2.68479835300426,0.329741866553369,62.0544675921158,3.34087558583649e-15,7.86068387840375e-13
"Pax1",77.8509009532313,-5.26061705339755,0.681509217736366,60.8726058568525,6.08902722791175e-15,1.40879793296452e-12
"Nol3",838.91708616887,1.30123216053807,0.165252172230876,60.4228652436899,7.65189407735383e-15,1.74137038658731e-12
"Myh1",333.52433388121,-7.74424493119915,0.963323501221253,60.348581719056,7.94617898789735e-15,1.77917510822566e-12
"Csf2rb",170.097956613899,5.23665085106338,0.625658851667292,58.9019210093338,1.65730336796788e-14,3.62062830686721e-12
"Pon2",1837.3123100278,1.25819198502808,0.16164619312779,58.8878312845662,1.66921345367743e-14,3.62062830686721e-12
"Tfpi",505.459945550324,-2.40256528127274,0.299677918122135,58.7032310506786,1.83340179235565e-14,3.91558210484325e-12
"Acvrl1",324.440074849686,-3.48200059348209,0.411612397640844,58.6232946586699,1.90942317142988e-14,3.98582964045649e-12
"Ptn",511.57034751991,-5.54521255689071,0.627502083224864,58.6086195676833,1.92371838287412e-14,3.98582964045649e-12
"Tgm1",296.946298478716,3.28392124362018,0.400063514574561,58.2561865390836,2.30112209689562e-14,4.69767308075074e-12
"Tifa",162.232692312375,2.58873530086643,0.329250623270278,57.8532179457586,2.82424586391013e-14,5.68205522939136e-12
"Igfbp6",781.581344157296,-1.79656642189782,0.229449564481874,57.7532520271856,2.97148381696084e-14,5.89287690672148e-12
"Adora2a",332.523619854968,2.40610727396083,0.30317394092539,57.7223025270013,3.01860748935599e-14,5.90201537566758e-12
"Lpar6",59.2777628545582,-3.56839216112819,0.469154387865423,57.3318889845938,3.6813769690328e-14,7.09789931723796e-12
"Limch1",196.136710056891,-2.74461762828601,0.345252064963353,57.0843617155116,4.17512430207356e-14,7.93959939197057e-12
"Cyp4b1",131.081314669942,5.05411733999277,0.608732755512292,56.9348391550307,4.50493909269428e-14,8.45102222767324e-12
"Adgrl2",2194.5332681431,-1.07354403535976,0.141077383579458,56.7482961771064,4.95319854346151e-14,9.16804029071103e-12
"Slc8a1",617.725710692394,-2.95787035804162,0.370503079629913,55.7205715896125,8.35395067209858e-14,1.52591504250095e-11
"Myod1",53.0554320623205,3.85439410281568,0.518948049770042,55.3154941187595,1.0265620882375e-13,1.85074479336531e-11
"Galnt16",134.321240538849,-5.60425152492117,0.702916288325553,54.97347186932,1.22167671787808e-13,2.17427130738251e-11
"Ptges",640.600164910611,1.97060682187395,0.256982551036416,54.8671481894405,1.28958657758144e-13,2.26608112278298e-11
"C6",114.511841623561,4.77043921614185,0.608817944973352,54.6159968992576,1.46537951633488e-13,2.54279980572011e-11
"Col5a3",1271.18669751457,-1.84809980990738,0.243170231299479,54.1652573304184,1.84317131100901e-13,3.15290979518792e-11
"Soga3",30.6060814109718,7.37240405317661,1.31161295120942,54.1448626313742,1.86240169431933e-13,3.15290979518792e-11
"Gsap",522.513500562226,1.93632767969398,0.257905582441497,53.1985856908687,3.01475777995224e-13,5.04227319292735e-11
"Mest",2093.32276310922,-5.99821921819231,0.643566960875651,53.0521583933602,3.24807882015174e-13,5.31012880979239e-11
"Cxadr",1152.34499795926,1.1814601801041,0.160317669735469,53.0501439912856,3.25141153171267e-13,5.31012880979239e-11
"Itm2a",1042.92364085893,-2.63306663772786,0.340046509056597,52.525234230331,4.24755436353187e-13,6.85634298541273e-11
"Slc38a4",50.2202932482502,-8.10986910424685,1.35480515640916,52.4880020933099,4.32884869384102e-13,6.90725029516104e-11
"Ppp1r1b",92.2618901633672,-8.09654170225396,1.1800268541224,51.8932083080281,5.86027707025784e-13,9.23454423447845e-11
"LOC100911932",578.98562171459,-3.13225952200721,0.398750738305908,51.8512174136599,5.98695419322187e-13,9.23454423447845e-11
"LOC108348067",578.98562171459,-3.13225952200721,0.398750738305908,51.8512174136599,5.98695419322187e-13,9.23454423447845e-11
"Dll1",82.2423698116031,3.85705546092493,0.518803586715348,51.6608293654496,6.59657825915184e-13,1.00630438894006e-10
"Ptx3",1813.15402735174,-1.3961660825341,0.191830443344966,51.1371142557233,8.61342440604989e-13,1.29969084353027e-10
"Stac",80.3501246503351,-3.51453615646655,0.471142566863108,51.00812548466,9.19844036030345e-13,1.3730403127068e-10
"Cyth3",1106.47820794161,-2.15326487032355,0.289986496332264,50.9160469819643,9.64022254748198e-13,1.42367627025686e-10
"Ankrd13c",1573.93849617978,1.4334012773535,0.198678133475386,50.0429929551217,1.5041395805067e-12,2.19794375332568e-10
"Dram1",806.563211385838,-1.88822980618947,0.257921123619585,50.0155691878078,1.52530896549068e-12,2.20566031863975e-10
"Adamtsl1",397.315867124453,-5.72840232319312,0.688000059042937,49.8558710302633,1.65464531377026e-12,2.36801920059369e-10
"Cercam",347.032078659608,-2.91892703259499,0.383377919600334,49.7639152945552,1.73403974590048e-12,2.45632038291739e-10
"Jcad",719.06534714794,-1.61530140820555,0.224297292715862,49.6369061338095,1.85000664959531e-12,2.59412043532142e-10
"Atcay",62.4707349241017,-4.62103005446629,0.634401271348437,49.5875073682739,1.89717922352873e-12,2.63366419810258e-10
"P2ry6",606.211403490474,2.98161379709293,0.39873735204876,48.3932603031196,3.48764792908485e-12,4.79361668827286e-10
