gene_id,gene_symbol,WKY_Joint_5d_A,WKY_Joint_5d_B,WKY_Joint_5d_C,WKY_Joint_3m_A,WKY_Joint_3m_B,WKY_Joint_3m_C,SHR_Joint_5d_A,SHR_Joint_5d_B,SHR_Joint_5d_C,SHR_Joint_3m_A,SHR_Joint_3m_B,SHR_Joint_3m_C
171458,Ipmk,385,387,225,365,402,222,331,339,236,323,298,256
171460,Hspbap1,227,160,106,242,236,99,193,206,140,176,156,92
171485,Cd99l2,2,5.76,29,188.27,284.1,188.54,17.91,26,109.5,123.01,38.27,197.95
171492,Map3k2,107,103,72,80,87,92,128,75,152,69,104,94
171493,Osgin1,15,62,40,68,65,56,50,58,21,124,97,44
171494,Ap1g1,963,912,1311,840,969,1665,972,931,1590,828,870,1676
171495,Capn5,612,773,1011,687,719,656,534,550,444,765,698,697
171496,Atp2c2,7,2,9,7,14,13,2,4,5,10,3,9
171497,Sgk2,1,0,1,0,0,0,0,1,0,1,0,0
171498,Sgk3,115,255,439,669,702,459,464,499,658,512,470,540
171499,Crlf2,266,400,498,366,443,634,293,336,307,362,275,873
171500,Stau2,361,497,537,385,401,427,503,485,498,510,383,471
171501,Rnf38,753,843,995,972,888,1041,760,726,577,744,606,785
171503,Camk1,813,941,618,1182,943,941,663,679,499,839,625,964
171516,Akr1c3,0,4,2,238,147,18,0,0,0,49,2,5
171517,Gpc2,9,32,26,18,34,41,27,27,12,37,13,31
171518,Cyp2c22,0,0,0,0,0,0,0,0,0,0,0,0
171522,Cyp2d4,3,10,0,3,2,1,2,1,1,1,1,3
171525,Polk,132,98,139,72,82,105,116,106,135,102,125,111
171529,Kif2c,1353,420,719,701,1274,564,502,487,771,759,383,433
171547,Crispld2,564,468,415,311,282,676,816,824,743,410,450,454
171548,Dkk3,938,2927,824,901,696,698,3243,3257,409,4158,6426,5747
171549,Klc3,6,5,11,48,73,51,22,13,31,60,26,93
171551,Cxcl3,873,675,573,4583,2024,2213,670,750,11,5733,2189,4638
171552,Prpf18,788,1104,491,1098,1069,727,986,1021,514,891,765,707
171553,A3galt2,2389,1375,1442,2134,2221,2192,1672,1724,1166,2520,2003,2743
171554,Cdhr5,15,19,6,7,14,7,12,3,4,20,14,34
171562,Ero1a,1472,1317,1194,4424.99,3730,3056,1015,858,635,3256,1987,1289
171563,Nav2,528,340,921,247,360,665,508,553,1172,357,662,503
171564,Pbld1,0,0,0,0,1,2,0,1,0,0,0,0
171565,Stambp,388,334.01,465,336,326,524,385,381,451,374.91,325,607
171566,Nme7,374,363,148,457,409,218,309,335,174,302,266,214
171569,Spon2,1062,1062,1796,425,721,1976,761,803,261,2718,389,2508
171572,Ttl,1557,1284,890,811,934,717,1418,1388,907,1206,1326,850
171574,Dnm3,199,235,338,47,40,136,142,147,172,35,37,62
171575,Dnase2,688,756,549,1386,1164,1128,776,836,395,1067,722,1512
171576,Bub1b,1433,454,551,696,1209,399,577,564,828,786,414,248
171577,Epcam,0,0,2,3,8,0,1,1,0,2,0,2
171581,Rhov,2,2,0,5,1,1,2,1,3,6,1,0
191568,Naip6,3,1,1.97,2,1,0,0,0,0,0,0,2.99
191569,Pde9a,6,10,8,18,11,7,3,4,3,5,0,3
191570,Serpina12,2,0,3,2,1,10,0,0,0,0,0,0
191571,Fat3,131,53,37,68,31,66,169,129,66,46,64,44
191572,Ahnak,3838,10286,4078,6197,6529,5869,7766,7258,6179,6879,12148,2568
191573,Grin3a,73,151,63,5,23,1,57,51,22,6,0,5
191574,Akr1c14,144,927,7,555,88,6,27,38,0,92,120,8
191575,Nme1,2126,1304,836,1634,2157,924,1540,1482,1004,2266,1494,1016
191576,Tecr,3212,4267,6131,4243,4401,8164,2589,2793,4957,2566,2008,7156
191595,Syt12,17,22,19,27,20,12,25,26,32,22,30,7
192107,Prss8,1,0,1,1,0,0,0,0,0,0,1,0
