gene_id,gene_symbol,WKY_Joint_5d_A,WKY_Joint_5d_B,WKY_Joint_5d_C,WKY_Joint_3m_A,WKY_Joint_3m_B,WKY_Joint_3m_C,SHR_Joint_5d_A,SHR_Joint_5d_B,SHR_Joint_5d_C,SHR_Joint_3m_A,SHR_Joint_3m_B,SHR_Joint_3m_C
24153,A2m,211.3,90.91,258.91,93.99,169.06,64.27,70.97,54.19,585.99,77.98,10,9.59
24157,Acaa1a,621,768,341,1033,795,348,424,435,144,428,330,280
24158,Acadm,733,770,294,874,752,371,568,660,243,757,548,459
24159,Acly,3386,2901,3163,2519,2847,2934,3993,4065,5381,2951,3218,4877
24161,Acp1,1457,927,690,1197,1237,566,1040,1152,807,1091,844,623
24162,Acp2,1411,1606,1397,1750,1628,2114,1604,1639,1457,1931,1719,2878
24165,Ada,404,116,164,132,177,174,133,159,196,273,99,248
24166,Adcyap1,0,0,0,0,0,0,1,2,0,0,3,1
24167,Adcyap1r1,0,3,1,9,3,1,1,1,0,4,1,2
24170,Add1,7767,6592,6696,5841,5382,5166,6015,6302,5484,5693,5783,5529
24171,Add2,2,0,0,1,0,0,1,1,2,3,2,0
24172,Adh1,1,2,0,1,3,1,3,0,0,0,1,9
24173,Adra1b,46,82,10,43,65,48,79,98,21,27,30,73
24174,Adra2b,6,5,0,3,0,0,0,0,0,1,1,0
24176,Adrb2,67,52,46,81,81,74,180,193,111,76,230,125
24179,Agt,1,11,58,9,7,47,10,5,3,8,7,111
24180,Agtr1a,492,1033,94,722,277,92,258,251,9,355,144,107
24182,Agtr2,860,4457,151,1,0,3,667,638,154,0,0,3
24183,Ak1,1562.83,790,1659.82,1699.63,1326.41,1467.47,1081.4,1128.4,1256.04,1737.94,1266.02,1575.56
24184,Ak2,4658,1907,1904,1565,2163,1335,1859,2160,2352,1822,1357,1144
24185,Akt1,10991,7304,6555,6080,6825,7294,7538,8081,8772,6973,6248,8072
24188,Aldh1a1,0,1,0,1,1,0,0,0,0,0,1,0
24189,Aldoa,28737,16648,23619,29075,25270,32370,16925,18250,21470,24186,18243,40579
24191,Aldoc,275,473,120,806,560,663,429,459,103,368,140,919
24192,Akr1b1,3559,3088,2674,3467,3372,2696,3298,3702,2056,4119,3243,3080
24205,Apc,751,1098,1412,763,783,1798,1182,1008,1618,794,1052,1464
24206,Apeh,1043,783,801,1247,1144,985,751,852,752,1020,761,1011
24207,Apoc3,2,3,2,0,1,2,3,4,2,5,9,3
24208,Ar,3,2,9,37,37,64,3,2,3,8,2,19
24209,Ascl2,1,7,1,1,9,7,2,5,1,6,5,7
24210,Asgr1,2,3,0,24,4,10,2,0,0,14,5,30
24211,Atp1a1,13594,6961,12523,12564,11684,11436,8382,8688,13011,12586,11390,10958
24212,Atp1a2,1,49,6,7,0,1,1,2,2,0,1,0
24213,Atp1a3,47,1,0,0,0,1,0,0,4,0,0,1
24214,Atp1b2,7,8,12,11,14,29,16,17,13,5,5,16
24218,Atp7b,16,13,21,21,22,33,12,12,35,18,10,34
24221,Avp,1,0,0,0,0,0,0,0,0,0,0,0
24223,B2m,7103,9516,12489,12151,10317,7164,7520,7932,4051,10679,8031,9317
24224,Bcl2,17,47,46,23,9,30,34,32,53,32,54,37
24225,Bdnf,116,254,121,255,181,126,407,357,98,377,945,266
24230,Tspo,2132,1841,402,3867,2841,719,1767,1788,272,2795,1325,835
24231,C2,110,421,163,1377,939,500,328,345,66,1154,186,578
24232,C3,151,6171,3714,27760,26059,9873,1439,1748,7,10824,1459,955
24233,C4a,27.26,593.43,49.54,573.02,500.54,206.02,69.15,106.11,5.17,131.51,18.81,44.8
24235,C4bpa,3,40,1,79,106,76,2,4,0,7,2,3
24236,C4bpb,0,0,0,0,0,0,2,0,0,0,0,3
24237,C6,4,20,2,299,311,71,7,1,0,68,10,6
24239,Cacna1c,433.26,281.82,301,133,129,214,410,372,232.93,225,324.29,114
24240,Cad,1355,834,2385,668,913,1731,1004,1094,3373,1008,1295,1407
24242,Calm1,15052,5968,8582,6113,7785,9696,9018,9185,8880,8706,9624,9715
24244,Calm3,1245,956,829,960,1334,916,863,820,666,1052,675,956
24245,Camk2b,12,18,39,23,31,27,20,19,36,33,29,31
24246,Camk2d,2061,1570,3628,1958,1848,4525,1723,1673,2609,2027,2154,3969
24248,Cat,1301,2506,3155,3353,2064,2095,2154,2193,1729,1958,1425,1651
24249,S100g,0,0,1,1,1,0,1,0,0,1,8,0
24250,Cbs,0,0,0,50,50,27,0,4,0,11,4,2
24251,Cd53,68,0,2,11,2,0,0,1,3,2,1,4
24252,Cebpa,310,462,334,221,111,142,227,268,248,125,128,110
24253,Cebpb,2196,3111,2574,5779,4735,12371,1713,2078,1620,3835,2123,12587
24254,Cel,4,4,3,4,3,11,5,1,4,4,10,3
24255,Cftr,1,1,5,0,1,0,1,1,6,1,0,0
24259,Chgb,0,0,0,0,0,0,0,1,0,1,2,0
24260,Chrm3,0,0,2,0,0,0,1,0,0,0,0,0
24261,Chrnb1,6,15,45,60,50,26,10,9,32,39,19,27
24264,Ckb,580,623,712,288,486,1173,1152,1098,744,952,1261,2703
24265,Ckm,0,0,0,2,0,1,0,0,0,0,0,0
24267,Comt,2160,1781,1556,2739,2127,2408,1562,1654,1403,2298,1487,3445
24268,Cp,73,998,402,3294,3975,1875,505,481,104,2087,1006,1110
24269,Cpa1,1,2,4,0,0,0,2,6,33,0,0,0
24271,Cpb1,0,0,0,0,0,1,0,0,0,0,1,0
24291,Ctrb1,3,2,5,7,10,2,11,11,14,16,13,9
24294,Cyp11b2,34.29,0,1,0,0,0,0,1,0,2,8,0
24296,Cyp1a1,0,1,3,2,1,0,0,3,14,0,0,1
24298,Cyp21a1,0,0,0,0,2,1,0,1,1,1,1,0
24299,Cyp2a3,0,0,0,0,0,0,0,1,0,0,0,0
24300,Cyp2b1,0,0,0,3,1,0,0,0,0,0,0,0
24307,Cyp4b1,2,6,20,174,283,298,3,5,5,40,68,46
24309,Dbp,177,427,411,2625,1317,657,209,273,145,1022,248,758
24310,Ace,21,97,14,15,9,8,13,13,4,9,17,25
24311,Ddc,10,7,6,0,0,0,13,23,23,0,0,1
24312,Dhfr,1073,263,484,421,474,363,229,239,377,355,192,253
24314,Nqo1,1898,2073,4228,5218,3681,1146,900,939,903,1635,1342,385
24316,Drd1,5,17,4,5,18,10,6,2,1,31,5,1
24323,Edn1,83,486,507,283,538,959,736,747,390,700,1609,820
24326,Ednra,837,1578,216,1621,869,223,742,654,53,691,373,143
24329,Egfr,931,1136,770,533,615,594,546,499,920,617,397,389
24330,Egr1,1354,4287,3415,1971,473,4372,3225,2570,3499,1970,2411,3505
24331,Cela1,3,3,0,2,5,4,0,0,0,0,0,0
24333,Eno1,38777,18073,23676,28351,26487,28220,20066,21849,30900,26476,22196,34558
24334,Eno2,760.74,1302.32,1206.29,1737.61,1363.19,1454.73,131.05,329.18,699.96,701.12,514.42,1649.64
24336,Epor,3,2,10,4,5,5,6,3,5,4,5,3
24337,Erbb2,756.89,804.14,821.03,420.49,388.85,508,761.84,751.18,817,397.06,510.51,584
24338,Ephb1,1,1,0,0,0,1,0,0,2,0,0,0
24346,Ces1c,0,1,0,0,1,0,0,0,0,0,0,1
24356,Ets1,1306,936,916,1087,1155,1349,1022,948,839,899,955,1848
24361,Fancc,142,63,77,61,84,34,117,96,77,75,64,46
24362,Fbp1,5,6,3,15,13,13,10,7,8,11,2,14
24366,Fgb,0,0,0,0,3,1,0,0,0,0,0,0
24367,Fgg,0,3,0,1,7,0,1,0,3,2,1,0
24368,Fh,2059,900,1038,1090,1351,810,964,1012,974,1112,952,775
24370,Foxg1,1,0,0,0,1,0,0,0,0,0,0,2
24373,Fst,5983,3631,2209,8078,6120,3388,4743,5234,1334,2274,1157,911
24375,Fuca1,1451,3646,1382,4027,4043,2788,2583,2602,1038,3334,2941,2833
24377,G6pd,4087,2338,6322,3373,2801,6122,2369,2447,4537,2962,2833,5892
24382,Ganc,114,240,198,228,224,248,187,187,173,202,157,258
24383,Gapdh,87165.97,33285.9,82739.83,67907.89,64007.53,106144.95,39183.27,40581.99,111727,62267.43,44722.33,116093.99
24384,Gc,1,1,1,8,3,6,1,0,0,0,0,0
24387,Gfap,23,60,18,20,59,113,68,48,24,14,7,71
24388,Gfi1,0,0,5.42,0,0,3.53,0,0,2.03,0,0,3.96
24390,B4galt1,1958,1931,1377,2094,1605,1458,1581,1504,910,1803,1895,1718
24392,Gja1,29314,25606,10386,23320,17749,12591,14652,15280,13541,12079,6687,10865
24398,Gls,3076,2043,2465,2670,3186,3925,4274,4053,2526,3647,6324,3498
24399,Glud1,6849,5971,4090,7241,7487,3288,4962,5060,3086,5977,4589,3360
24400,Gnb1,12888,9077,6731,8111,9566,7800,11211,11379,7584,9296,10612,8547
24401,Got1,1062,884,591,1055,912,560,691,798,617,799,1012,574
24404,Gpx1,3150,2004,1101,3142,3147,1825,2310,2676,1405,3947,2859,1715
24406,Grik4,1,1,2,3,2,5,2,1,2,2,0,3
24407,Grik5,240,729,422,199,228,585,370,463,348,191,252,701
24408,Grin1,0,0,1,0,3,2,2,3,2,2,2,4
24409,Grin2a,0,1,0,4,4,1,0,0,0,1,0,0
24410,Grin2b,0,0,0,0,0,1,0,0,0,0,1,0
24411,Grin2c,0,1,2,0,0,2,5,3,12,1,4,0
24412,Grin2d,140,106,357,74,70,305,125,113,341,158,138,297
24413,Nr3c1,1581,2484,1514,2414,1903,1415,2091,1917,965,1592,2146,1555
24414,Grm1,0,0,0,2,1,1,0,0,0,0,0,0
24415,Grm2,0,0,0,1,1,0,0,0,0,0,0,0
24417,Grm4,0,0,2,0,1,1,2,1,0,1,0,2
24420,Gspt1,4992.38,2508.61,2851.93,2449.42,2977.92,2305.77,3071.18,2968.47,3041.78,2955.12,3062.92,1682
24423,Gstm1,272,302,709,355,344,624,387,375,431,375,233,723
24424,Gstm2,764,2660,2354,2738,2299,2505,2017,2252,1469,1636,1641,1590
24426,Gstp1,3104,2628,4482,4228,3547,3987,3250,3420,4263,2604,3609,2909
24434,Gusb,1100,1317,652,1322,1135,940,1104,1148,673,1145,805,1112
24437,H1f0,3069,4611,2959,3664,2968,3031,3070,2958,3348,2711,2499,3994
24438,Hist1h1t,1,5,0,1,2,2,1,1,0,2,1,2
24439,Hagh,192,160,138,215,213,155,184,204,108,264,208,253
24443,Hdc,3,98,4,44,61,12,15,21,3,13,7,2
24446,Hgf,18,37,4,41,3,4,7,8,2,12,8,0
24448,Hrh1,0,0,1,0,0,0,0,0,0,0,0,0
24450,Hmgcs2,0,6,0,0,0,0,2,1,0,0,0,0
24451,Hmox1,3114,3544,1844,6050,4873,3385,1939,2192,2118,4864,3146,4724
24457,Hoxb8,3,3,0,2,0,4,0,0,0,0,0,0
24459,Hoxc4,178,199,454,140,128,364,90,108,240,128,95,473
24460,Hoxc8,38,77,216,305,197,453,32,58,85,214,131,236
24464,Hp,172,4448,170,20611,13483,3893,461,489,2,1800,299,599
24468,Hspa8,32700.01,28439.27,29130.51,28988.31,27452.21,23423.91,24354.17,25478.42,24931.04,26568.55,22556.33,21741.34
24471,Hspb1,3551,2329,4670,3952,4851,8172,3614,3839,2142,5383,4822,4530
24472,Hspa1a,27.38,13.73,14.79,40.92,13.77,7.3,13.77,20.55,22.13,0,27.34,0
24477,Ibsp,0,0,1,0,1,10,1,1,3,2,2,11
24479,Idh1,1749,2252,949,1777,1406,1025,2393,2250,1074,1688,2017,1340
24482,Igf1,6314,7177,1789,1692,164,302,2193,2181,179,688,86,229
24483,Igf2,12958,10429,53727,525,521,1255,4043,3484,97180,127,7,1131
24484,Igfbp3,8206,7312,5331,452,357,124,3021,3225,1343,856,79,863
24493,Il1a,120,5,32,0,2,22,7,7,2,38,52,11
24494,Il1b,288,2,9,1,1,5,2,1,3,6,6,11
24498,Il6,391,274,89,1729,416,1703,130,122,8,1720,704,1829
24499,Il6r,245,214,102,191,125,65,81,88,56,110,49,82
24500,Il9r,0,0,1,0,2,0,0,0,0,0,0,0
24503,Ina,2,9,38,8,13,27,22,19,36,18,3,40
24504,Inha,48,74,67,76,52,56,69,78,36,63,77,43
24508,Irf1,647,767,279,511,576,168,311,345,154,358,211,272
24511,Itgb1,36562.52,25787.76,26114.68,16532.14,19933.11,24188.54,38474.51,37620.87,27384.41,35284.06,51463.7,28791.1
24513,Ivd,977,1460,856,2001,1747,1115,1047,1157,539,1375,978,1217
24514,Jak2,1653,1461,666,5225,3557,1498,1225,1220,394,1878,1181,1312
24516,Jun,1253,563,1861,587,387,882,677,666,1472,773,915,1155
24517,Junb,4401,3169,3686,4213,2672,7956,2557,2505,1504,3261,3150,8416
24518,Jund,1382,1750,2658,2026,2197,3636,1384,1547,2636,1600,1531,4110
24522,Zfp354a,134,136.95,111.01,134.86,121.75,116,137.68,142.71,104,106.86,107,140
24525,Kras,1288,1021,1223,636,732,621,1183,1221,1037,924,1109,483
24530,Lcat,91,91,144,97,81,127,84,91,209,111,162,118
24533,Ldha,38725,14658,9447,23082,23982,13458,15232,16871,11555,21503,15972,17669
24534,Ldhb,289,431,82,257,274,179,258,329,71,386,258,207
24536,Lepr,11,42,11,66,58,68,39,30,5,39,82,23
24539,Lpl,404,1071,217,226,90,165,77,74,101,170,21,122
24546,Slco2a1,2381,1547,5140,1516,1275,1418,2058,2086,2799,2154,1439,1131
24547,Mbp,10,9,7,25,18,18,4,6,8,4,4,31
24551,Mdh1,3236,2515,1320,2942,2890,1815,2627,2844,1649,2566,2203,1693
24552,Me1,2308,1825,1870,1016,1193,1081,2188,2266,1935,1587,1405,1373
24553,Met,535,358,535,312,419,339,470,425,563,290,413,402
24558,Mog,5,12,0,12,18,1,27,17,0,32,19,0
24559,Mos,1,1,2,2,2,2,1,1,2,1,0,0
24560,Cd200,495,795,219,3168,2884,2737,743,757,99,1155,741,2594
24561,Mpg,150,150,84,171,180,118,121,153,59,146,131,109
24564,Mpz,5,0,4,1,0,0,1,1,7,1,0,0
24565,Abcc1,626.51,770.23,794.28,802.81,742.57,893.54,883.15,803.8,758.25,908.06,1168.89,841.93
24566,Mst1,1,0,0,5,3,3,1,0,0,5,0,0
24567,Mt1,936,1790,2402,15721,9167,19225,449,537,675,3376,353,28007
24571,Muc1,13,9,32,9,14,41,8,20,40,14,23,32
24572,Muc2,0,0,0,0,0,4,1,0,0,1,0,1
24575,Mx1,2.04,9,0,3,5,1,1.06,5,1.02,0,0,0
24577,Myc,1893,1549,3697,1213,1109,2695,1760,1907,3952,917,1094,2729
24582,Myh11,147,322,623,92,150,1554,870,820,154,713,371,817
24583,Myh3,2,10,9,6,0,1,3,2,5,1,0,5
24584,Mylpf,2,6,5,19,2,4,3,3,4,3,1,10
24585,Myl3,0,1,1,1,0,1,0,0,2,0,0,3
24586,Ncam1,2308,1479,4612,1513,1836,4518,4514,4631,8577,3190,7530,5989
24587,Nefh,540,117,273,402,325,123,142,160,152,745,194,134
24588,Nefm,7,1,1,0,1,0,0,0,0,0,0,1
24590,Mme,1497,5271,568,6940,4162,1052,1830,1790,426,2033,1381,316
24591,Neu1,339,585,610,492,474,746,399,430,238,349,374,816
24592,Nf1,399,717,409,496,468,604,644,484,457,429,514,344
24596,Ngfr,23,1,5,4,3,2,0,1,6,6,0,6
24598,Nos1,0,0,0,0,0,0,0,0,1,1,1,0
24599,Nos2,14.47,0,26.63,220.54,81.12,28.57,0,0,0,14.3,3.18,128.58
24600,Nos3,0,0,6,0,2,4,2,1,4,1,3,3
24602,Nppa,0,0,2,0,2,0,0,1,1,2,0,0
24603,Npr1,15,5,24,11,19,9,8,10,31,29,14,22
24604,Npy,51,3,35,18,21,21,6,9,7,16,6,2
24605,Nras,3395,1972,2154,2582,2680,2013,2329,2242,2364,2478,2258,2559
24609,Odc1,3976,4244,2505,3735,6457,3069,4540,4699,4101,5423,6029,2153
24610,Odf1,1,0,1,1,0,0,1,1,0,0,1,0
24611,Gnal,0,1,3,2,4,5,1,0,1,4,1,1
24612,Omp,0,0,0,1,0,0,1,0,0,0,0,0
24613,Oprd1,1,1,0,1,0,0,0,1,0,0,0,0
24614,Orm1,27,65,225,16932,18684,9725,59,79,0,1082,63,893
24615,S100a4,26942,11761,6197,20276,18650,8474,12756,14243,3588,18719,13377,8962
24617,Serpine1,97782,31040,128948,49145,67492,359758,60368,57831,64539,116771,179947,295423
24624,Pccb,961,1062,662,1183,1133,809,1038,1173,696,1019,734,1004
24626,Pde4b,1092,621,523,3089,2016,2630,641,563,160,2068,974,1865
24627,Pde4d,655,544,461,582,411,313,590,546,366,526,318,360
24628,Pdgfb,10,0,9,1,0,1,3,5,42,0,1,1
24629,Pdgfrb,5019,9812,8804,8361,6678,17086,7366,7723,4181,12725,21155,27399
24631,Rhox5,0,1,0,0,0,0,2,1,1,0,2,0
24638,Pfkfb1,63,31,87,29,54,35,32,54,92,71,31,18
24640,Pfkfb2,259,561,307,505,424,353,472,447,243,407,480,294
24642,Pgam1,21375,10872,8842,14070,14165,9924,10382,11636,11788,11795,10540,11633
24644,Pgk1,22517,9848,5008,17925,15684,8636,9461,10292,7221,13748,9031,9907
24645,Pgm1,1628,1067,1043,1653,1469,1933,1051,1107,1193,1420,1123,1864
24646,Abcb1b,717.17,4724.8,1829.94,6808.21,8621.11,1933.2,4617.96,4595.73,764.91,5883.16,3731.5,2337.86
24648,Serpina1,2,6,98,14,2,5,0,0,4,3,2,6
24649,Pim1,165,114,111,92,106,98,72,72,126,102,50,109
24650,Pkd1,2852,2901,3869,1568,1512,3237,3334,3216,3942,2525,3994,2665
24653,Pla2g4a,694,781,807,707,744,943,619,575,758,738,380,937
24654,Plcb1,56,72,79,43,33,47,89,68,194,51,13,35
24655,Plcd1,1741,1485,1792,1757,2067,1809,1468,1525,2302,1371,1274,1555
24657,Prl6a1,2,4,2,8,4,3,0,0,0,1,0,1
24660,Pmp22,4822,2946,4277,4349,4898,5639,3812,3833,5009,5532,4544,8431
24661,Pnmt,1,1,0,0,0,0,0,1,3,2,0,0
24664,Pomc,14,10,10,13,18,11,12,11,3,18,16,24
24666,Ppm1a,1460,1496,659,1475,1567,658,1399,1397,672,1499,1397,654
24667,Ppm1b,1037,1296,670,1306,1345,629,1279,1187,580,1327,1172,569
24668,Ppp1ca,8177,4635,5361,4406,5077,4359,5042,5313,6341,5245,4558,4722
24669,Ppp1cc,5639,4059,2758,4626,4855,3115,3558,3792,3525,4079,3391,2961
24672,Ppp2ca,4189.43,3612.21,2250.83,2946.41,3157.19,1764.25,3471.42,3438.21,2492.71,2616.38,3050.97,1637.97
24673,Ppp2cb,2877,2208,2215,2015,2374,1804,2415,2419,2494,2316,2134,1897
24674,Ppp3ca,976,1248,1003,1503,1441,1645,1329,1290,980,839,751,1910
24675,Ppp3cb,1258,1162,709,879,956,535,1131,1042,764,781,1020,608
24678,Pkib,2,0,0,0,0,1,0,0,0,1,0,0
24679,Prkar2b,508,475,315,548,427,267,542,511,196,451,416,260
24680,Prkca,1077,755,1283,822,658,968,795,744,1719,640,722,1340
24681,Prkcg,7,9,43,14,12,39,12,9,32,16,26,35
24684,Prlr,0,0,1,0,1,0,1,0,2,0,0,1
24686,Prnp,4668,7331,4218,12272,13858,7941,7619,8219,4753,12254,9461,7057
24688,Prph,15,12,2,7,7,2,2,9,8,8,2,10
24689,Prps2,597,564,529,1217,2033,2201.99,675,702,589,2257,1464,4445
24693,Ptgs1,3801,757,1305,1914,1029,347,963,1039,230,2301,4506,431
24695,Pthlh,2,1,0,0,0,0,0,0,1,0,1,0
24697,Ptpn1,1600,1197,770,2404,1967,1416,1012,957,796,1413,1137,1805
24699,Ptprc,26,0,1,0,0,2,0,0,1,0,0,6
24701,Pygm,6,21,12,9,8,12,33,25,19,6,10,11
24703,Raf1,2728,2441,2429,2626,2561,2597,2757,2824,2431,2497,2265,2713
24705,Rara,1179,1083,1563,1077,1231,1949,912,1028,2290,688,831,1475
24706,Rarb,32,51,9,6,7,8,41,62,22,34,42,10
24708,Rb1,251,313,414,486,462,518,359,349,262,356,395,467
24710,Rbp2,0,3,2,7,7,0,4,2,3,5,3,1
24716,Ret,26,264,28,970,737,705,38,34,17,67,7,975
24717,Rho,0,0,2,2,1,1,6,3,0,0,1,0
24718,Reln,65,8,34,31,37,10,30,21,16,26,22,2
24747,RT1-M3-1,264,632,81,554,371,144,321,365,26,346,226,187
24750,RT1-N3,647.15,295.51,378.38,476.45,491.2,268.3,214.95,242.04,198.93,307.95,224.98,178.76
24751,RT1-O1,0,2.03,1,4,1,1,1,2,0,5,2,0
24763,Acsm3,1,4,0,9,17,10,0,0,0,1,1,0
24765,Scg2,2,3,0,5,4,5,0,1,0,2,2,3
24766,Scn2a,54.97,90.02,49,62.91,33,24.83,96.92,70.67,54,80.95,80.95,25.78
24769,Sct,0,0,1,2,3,1,0,3,8,1,0,1
24770,Ccl2,14844,8665,7699,17303,9986,7653,1393,1332,62,16664,3196,15283
24771,Sdc4,9889,10894,3440,17532,15128,6098,6791,7047,2912,10768,6652,4216
24772,Cxcl12,14808,39288,10269,59408,31307,17618,21281,21256,701,45237,38888,13258
24775,Shbg,9,11,7,22,13,8,9,8,7,17,12,7
24778,Slc2a1,3005,1845,2423,2803,2376,2902,1499,1551,2274,2549,1827,3337
24780,Slc4a2,2990,2459,3023,2465,2771,3275,2598,2784,2670,3013,2993,4445
24781,Slc4a3,220,380,423,334,314,449,385,351,573,341,473,422
24782,Slc9a1,991,922,1866,1005,898,1507,804,873,1616,1010,962,1551
24784,Slc9a3,0,1,12,4,0,0,0,0,1,1,0,0
24785,Slc9a4,0,0,0,0,1,1,1,0,5,0,0,0
24786,Sod1,2791,1659,967,3250,2976,1310,2632,2709,1122,4031,2703,1655
24787,Sod2,7229,18493,2913,45763,31976,18921,8163,8131,486,24790,7145,20909
24788,Sord,1640,1698,766,2522,2062,709,1018,1113,462,2095,688,703
24790,Sp1,1498,1995,1162,1494,1347,1079,1747,1532,1247,1266,1411,944
24791,Sparc,84150,152364,115903,96356,113047,176807,159227,172304,145743,153313,179104,226806
24795,Serpina3n,85,571,255,2348,973,820,22,17,2,47,23,424
24796,Spn,64,31,62,23,36,28,87,89,57,75,32,48
24799,Eef1a2,6,1,7,16,17,21,9,12,13,18,28,23
24800,Sts,34,324,577,628,411,1287,226,244,239,500,289,1680
24803,Vamp2,855,1452,1891,1238,907,1506,1291,1410,1586,1103,1145,1657
24804,Syp,2,1,2,2,2,0,0,2,2,2,1,2
24805,Syt2,0,0,0,1,0,1,0,0,0,0,0,0
24806,Tac1,1,0,1,0,0,0,0,1,0,0,0,0
24807,Tacr1,2,26,15,66,21,49,6,7,0,32,1,18
24808,Tacr3,1,0,0,0,0,0,0,1,3,0,0,0
24811,Tap1,785,826.96,697,870,781,625,443,514,153,576,360,497
24812,Tap2,694.52,728.29,396.91,893.58,816.3,440.59,282.35,280.82,42.3,527.12,274.57,404.76
24816,Tbxa2r,79,223,104,21,19,32,162,159,37,60,28,120
24817,Hnf1a,1,0,0,0,0,3,0,0,1,0,0,0
24818,Tcp1,7846,3386,4254,3305,4348,3145,4342,4229,5077,3823,3210,3103
24822,Tmbim6,8219,9161,5686,10849,11545,7669,8687,8937,4637,10604,9097,8593
24825,Tf,8,1,4,0,7,9,2,2,3,4,3,7
24826,Tg,5.49,29,21,59,41,24,43,36,20,90.94,35,28
24827,Tgfa,275,135,466,495,330,536,336,326,291,516,728,318
24831,Thrb,85,274,381,308,350,415,376,338,579,189,154,486
24832,Thy1,7135,3856,11605,1882,1456,4549,6544,7098,9161,6162,7871,8920
24834,Tk1,6547,1467,3297,1932,3121,1536,1855,1991,4185,2364,1478,1050
24835,Tnf,0,2,2,1,0,0,0,0,0,0,0,13
24837,Tnnt2,3,5,3,3,2,3,27,31,58,1,3,1
24838,Tnnt3,26,52,29,34,28,80,43,42,41,38,18,76
24842,Tp53,4024,3850,7385,3413,4315,5821,3947,4504,4704,3595,3173,6451
24848,Tph1,1,0,1,1,0,0,0,0,2,0,2,1
24849,Tpi1,18798.34,6509.76,5425.73,13887.12,12726.89,9497.14,6802.91,7214.46,6182.76,10950.25,6313.68,10006.27
24851,Tpm1,24157,12644,19572,5167,6759,15346,24892,24791,22953,16309,18331,15868
24852,Tpm4,20121,8300,9168,4829,7921,11173,12086,11719,8301,11265,11100,12414
24854,Clu,2262,13369,2750,9611,9912,4286,2211,2693,543,2463,1246,1524
24855,Tsc2,1157,1400,2091,1239,1231,2312,1236,1275,2000,1371,1320,2226
24861,Ugt1a1,0,2.53,2.54,0,0,0,0,0,0,0,0,0
24873,Vdr,161,95,562,124,132,741,353,361,1102,176,120,702
24874,Vhl,1050,1454,553,1175,1286,589,1466,1660,640,1105,1113,611
24875,Vipr1,0,0,0,2,2,0,0,1,1,0,1,0
24877,Vsnl1,16,16,74,10,5,5,46,49,110,24,46,31
24883,Wt1,17,9,15,6,7,5,5,8,66,4,0,7
24884,Yes1,917,896,747.81,930,903,585.84,1195,1022,783.08,870,1045,481.9
24886,Tbxas1,23,4,2,0,0,0,0,2,0,0,0,1
24887,Bax,1326,1502,516,1182,1309,506,1537,1646,695,1674,1405,664
24888,Bcl2l1,1458,1453,2242,1729,2065,1356,1358,1439.07,2444,2355,1811,1662
24890,Esr1,4,7,2,14,9,27,5,4,3,10,94,13
24891,Abcb4,13,5,4,30,24.01,24,5,3,1,33,13,23
24896,Gnas,6099,4964,11761,4939,5409,17145,5420,5992,13270,5551,5038,15694
24903,Kng2,1,1,3,48,73,14.19,0,0,0,1,0,0
24907,Dmd,127,161,261,21,19,81,509,451,379,62,229,115
24908,Dnajb9,451,502,473,594,582,608,587,551,430,543,583,516
24913,Pla2g16,54,158,44,125,166,59,105,100,21,118,137,51
24914,Lox,30283,25629,58128,36687,50919,117933,36792,36002,55665,35828,39910,105683
24915,Pdlim4,714,884,769,435,378,732,845,939,848,443,771,954
24916,Rnf112,3,43,0,0,2,0,6,3,0,0,0,0
24917,Kpnb1,10210,5079,5728,4392,6330,4269,5448,5414,6932,5678,5451,3700
24918,Stat5a,452.65,681.61,502.73,461.67,370.8,494.43,448.95,508.47,369.65,356.72,289.08,597.32
24919,Yy1,755,602,1145,587,625,1178,638,664,1046,501,516,1290
24922,Gabrb3,1,0,2,0,0,0,0,0,0,0,0,0
24923,Stx1b,23,55,33,3,6,14,36,33,66,4,4,36
24924,Ptn,819,2268,58,26,20,4,399,329,35,13,9,4
24925,Adrb1,0,0,1,0,0,0,0,0,0,1,0,0
24929,Ptger3,12,31,7,3,4,0,4,5,1,0,63,0
24930,Cd8a,1,4,1,0,3,1,5,3,0,1,2,0
24932,Cd4,32,1,2,0,0,1,0,0,1,0,1,15
24936,Cd9,3093,1282,580,4698,2730,786,1462,1558,462,1757,454,621
24938,Grpr,3,8,9,0,5,1,7,8,4,0,21,0
24941,Atp7a,628,947,659,705,695,805,1121,920,634,639,794,729
24942,Chm,305,458,322,374,346,335,467,411,261,222,368,301
24943,Plp1,28,96,46,53,48,34,28,39,50,41,42,23
24944,Lamp2,4630,9346,3908,9542,7419,5253,6856,7096,3139,7060,6633,5109
24947,Gabra3,0,0,0,1,0,2,1,0,0,0,0,0
24948,Fmr1,1260,1109,772,1047,1063,715,1128,1002,761,833,833,664
24949,Syn1,27,23,127,26,19,88,30,27,97,31,20,28
24950,Srd5a1,151,60,127,91,121,90,78,67,82,93,61,77
24953,Gcgr,4,0,0,2,2,0,0,0,0,0,0,0
24954,Insr,236,535,324,306,302,292,307,300,417,252,314,246
24957,Glul,3528,3545,2313,11776,9529,3719,1724,1783,994,3388,952,2822
24959,Pgam2,0,0,0,1,2,0,6,3,3,6,3,0
24962,Cth,346.69,334.22,499.87,298.49,442.16,273.4,202.73,257.27,539.84,253.18,402.95,101.34
