"","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Cyp2b1",0,0,0,0,0,0
"Cyp4b1",3.95897827906509,4.01883042749298,4.05910782998527,4.73076916780583,5.13457035983891,4.86246628711614
"Dbp",8.02693059277571,8.21966991070138,7.81495502293632,9.41648916888442,8.24990638616809,9.14154300632848
"Ace",3.68364183910919,3.67902982404188,3.46384914899741,3.59576141724657,3.80389063685947,3.91731270963115
"Ddc",3.22302543392969,3.41730913022297,3.38597654651848,2.86450855631908,2.86801056700223,2.80045029721851
"Dhfr",8.01675737339514,8.03714972247805,8.30182263068186,8.38177705124063,7.97105406666609,7.9015464762081
"Nqo1",9.53520803056009,9.55747773549125,10.1711789844571,10.0817028906135,9.99925506218082,9.41564287496572
"Drd1",2.48253302996614,2.36024413210916,2.58164385984715,3.00326661383543,2.4720770203454,2.57741653828091
"Edn1",9.33966663336978,9.3380642677306,9.2560973050436,9.3031047920237,10.1641293228685,9.8163852029527
"Ednra",8.35610065893816,8.22274009561586,7.9052882442002,8.29621917865377,7.83894626965984,8.45171485723362
"Egfr",9.14761765482915,9.05744593891556,9.52218740066695,9.25941722555164,8.9787990954971,8.69945255672978
"Egr1",11.7136189578048,11.4968717556345,11.5476755124604,11.2899957509323,11.5581293812855,11.4816324103681
"Cela1",0,0,0,0,0,0
"Eno1",14.5833332649709,14.640998135595,14.6885254001976,14.8305034157625,14.7709515145575,14.7243677652453
"Eno2",8.49734782422227,9.12076337052268,8.87078324591691,9.77484513453765,9.59792611538388,9.62465797641633
"Epor",2.14115963566801,2.06250587059933,2.13952990036255,2.09124604286545,2.13150542526558,2.07367858683664
"Erbb2",9.51082326753301,9.48440511739375,9.48957436450432,8.97200171498812,9.26580366873295,9.1269425198196
"Ephb1",-1.48522813904041,-1.48542234947634,-1.46122594464708,-1.48514210668537,-1.48386774361675,-1.50860422476235
"Ces1c",-1.96896873395618,-1.96906370753062,-1.97429755893791,-1.96892666206527,-1.96830346787297,-1.96333372677461
"Ets1",10.1165026383618,10.0372777200461,9.75528560248545,10.0125499077609,10.1593790522429,10.4075690567204
"Fancc",6.42301470029216,6.27024686434963,6.40745687579431,6.12141650684362,6.09034623397086,6.04505527693382
"Fbp1",3.14431835406879,3.07089557723489,3.02121345848856,3.16834594242239,2.95047058433335,3.14580177054115
"Fgb",0,0,0,0,0,0
"Fgg",0.227478328860927,0.198237575436963,0.27670530737045,0.256054549158519,0.231069642032867,0.179714740374188
"Fh",9.82881075391479,9.85660645928391,10.0226556632204,9.96092909239447,9.92033754280584,9.7606862609791
"Foxg1",-1.48546768075323,-1.48564944015506,-1.50655314061549,-1.48538716402243,-1.48419450170254,-1.46379625270114
"Fst",11.3674565050587,11.4478944861382,11.1079027303179,10.6840505684263,10.199519746316,10.7415579226517
"Fuca1",11.0657394886052,11.057368871407,10.7824579447779,11.304977711478,11.290248101203,11.5767091415687
"G6pd",11.6963856896656,11.7095894581807,11.7228708472886,11.894269028597,11.9513912112763,11.9029468465712
"Ganc",7.60789054101063,7.59501340855014,7.47710548561896,7.6737825852182,7.56370202663878,7.74308879508991
"Gapdh",15.9350130616342,15.9502109279725,16.1096888588986,16.3407022029568,16.1458099354352,16.0761792051008
"Gc",-1.96248844200724,-1.97305182812556,-1.97001392749359,-1.97292564389865,-1.97235183959823,-1.97039494932125
"Gfap",5.56945309108183,5.34435602225843,4.81148215567509,4.81412158283971,4.67254013266092,5.38875325874536
"Gfi1",-0.232947282436621,-0.232991485463249,-0.245381760867895,-0.232927512880559,-0.232620798635118,-0.220361778839879
